latitude,longitude,date_start,date_end,best_est
33,65,12/06/2011 00:00:00,12/06/2011 00:00:00,59
33,65,06/01/2011 00:00:00,07/06/2011 00:00:00,6
33,65,06/05/2011 00:00:00,06/25/2011 00:00:00,32
34.750462,71.118319,06/23/2011 00:00:00,06/23/2011 00:00:00,2
34.448441,70.86699,06/23/2011 00:00:00,06/23/2011 00:00:00,2
38.56,68.773889,12/13/1992 00:00:00,12/13/1992 00:00:00,6
38.56,68.773889,05/10/1992 00:00:00,05/10/1992 00:00:00,8
38.56,68.773889,03/10/1994 00:00:00,03/10/1994 00:00:00,1
37.52526,69.33277,08/01/1993 00:00:00,08/01/1993 00:00:00,100
38.56,68.773889,12/04/1992 00:00:00,12/04/1992 00:00:00,60
37.8,70,12/29/1993 00:00:00,12/29/1993 00:00:00,23
38.56,68.773889,10/25/1992 00:00:00,10/25/1992 00:00:00,2
38.56,68.773889,08/09/1994 00:00:00,08/09/1994 00:00:00,1
38.389166,69.322716,10/24/1992 00:00:00,10/24/1992 00:00:00,12
38.56,68.773889,05/05/1992 00:00:00,05/05/1992 00:00:00,4
38.25965,68.3444,12/30/1994 00:00:00,12/31/1994 00:00:00,9
37.66101,69.62849,07/13/1993 00:00:00,07/13/1993 00:00:00,172
39.02871,70.37446,10/31/1995 00:00:00,10/31/1995 00:00:00,15
38.889034,71.122508,10/01/1995 00:00:00,11/16/1995 00:00:00,44
38.598559,69.107454,07/18/1993 00:00:00,07/18/1993 00:00:00,45
38.69529,70.48422,07/21/1993 00:00:00,07/21/1993 00:00:00,16
38.56,68.773889,04/28/1998 00:00:00,04/28/1998 00:00:00,4
36.66667,69.75,07/12/1993 00:00:00,07/13/1993 00:00:00,350
37.489744,71.553045,06/13/1996 00:00:00,06/13/1996 00:00:00,2
37.646254,70.199313,02/18/1994 00:00:00,02/18/1994 00:00:00,0
39.21966,71.19155,05/20/1996 00:00:00,05/20/1996 00:00:00,2
38.697371,70.488282,06/07/1996 00:00:00,06/07/1996 00:00:00,30
38.629023,69.137117,06/19/1996 00:00:00,06/19/1996 00:00:00,8
38.697371,70.488282,07/15/1996 00:00:00,07/15/1996 00:00:00,3
38.889034,71.122508,08/14/1996 00:00:00,08/15/1996 00:00:00,4
38.639275,70.668581,10/29/1996 00:00:00,10/29/1996 00:00:00,1
38.73014,69.80235,02/27/1996 00:00:00,02/27/1996 00:00:00,12
37.489744,71.553045,07/22/1996 00:00:00,07/28/1996 00:00:00,5
38.56,68.773889,08/09/1997 00:00:00,08/09/1997 00:00:00,4
38.598559,69.107454,04/05/1998 00:00:00,04/05/1998 00:00:00,1
38.598559,69.107454,03/18/1998 00:00:00,03/31/1998 00:00:00,10
39,71,05/05/1992 00:00:00,05/10/1992 00:00:00,34
38.598559,69.107454,08/27/1997 00:00:00,08/27/1997 00:00:00,5
38.56,68.773889,10/09/1994 00:00:00,10/09/1994 00:00:00,1
38.598559,69.107454,08/29/1997 00:00:00,08/29/1997 00:00:00,2
37.66101,69.62849,06/09/1994 00:00:00,06/09/1994 00:00:00,1
38.598559,69.107454,04/29/1998 00:00:00,05/04/1998 00:00:00,13
38.58333,68.16667,10/28/1997 00:00:00,10/28/1997 00:00:00,2
37.489744,71.553045,04/16/1995 00:00:00,04/17/1995 00:00:00,1
38.56,68.773889,02/18/1995 00:00:00,02/18/1995 00:00:00,1
39.02871,70.37446,04/20/1995 00:00:00,04/20/1995 00:00:00,2
38.35096,68.58544,06/18/1997 00:00:00,06/21/1997 00:00:00,8
38.56,68.773889,08/10/2009 00:00:00,08/10/2009 00:00:00,1
38.889034,71.122508,12/08/1996 00:00:00,12/11/1996 00:00:00,1
38.889034,71.122508,01/01/1996 00:00:00,07/08/1996 00:00:00,129
38.889034,71.122508,01/01/1996 00:00:00,07/15/1996 00:00:00,700
38.889034,71.122508,01/30/1996 00:00:00,03/02/1996 00:00:00,53
38.73014,69.80235,03/05/1996 00:00:00,03/05/1996 00:00:00,30
38.73014,69.80235,03/07/1996 00:00:00,03/07/1996 00:00:00,1
38.870555,70.110277,08/25/1996 00:00:00,08/25/1996 00:00:00,19
38.69529,70.48422,01/01/1996 00:00:00,07/19/1996 00:00:00,1000
38.85613,69.40134,08/27/1996 00:00:00,08/27/1996 00:00:00,2
38.889034,71.122508,05/29/1996 00:00:00,07/29/1996 00:00:00,200
39.02871,70.37446,02/15/1996 00:00:00,02/15/1996 00:00:00,1
38.889034,71.122508,08/13/1996 00:00:00,08/13/1996 00:00:00,1
38.590537,68.894502,10/24/1996 00:00:00,10/24/1996 00:00:00,18
38.598559,69.107454,08/21/1997 00:00:00,08/21/1997 00:00:00,3
38.5,69.416667,11/05/1996 00:00:00,11/06/1996 00:00:00,1
38.85613,69.40134,11/26/1996 00:00:00,11/26/1996 00:00:00,1
38.889034,71.122508,11/08/1996 00:00:00,11/08/1996 00:00:00,14
38.590537,68.894502,11/25/1996 00:00:00,11/25/1996 00:00:00,1
38.867761,69.96642,06/25/1996 00:00:00,06/25/1996 00:00:00,5
38.78314,70.30417,06/28/1996 00:00:00,07/01/1996 00:00:00,35
38.889034,71.122508,06/23/1996 00:00:00,06/26/1996 00:00:00,2
38.78314,70.30417,06/26/1996 00:00:00,06/26/1996 00:00:00,26
38.889034,71.122508,06/13/1996 00:00:00,06/16/1996 00:00:00,25
39.02871,70.37446,12/13/1996 00:00:00,12/13/1996 00:00:00,5
39.02871,70.37446,12/12/1996 00:00:00,12/12/1996 00:00:00,2
38.889034,71.122508,07/29/1996 00:00:00,07/30/1996 00:00:00,2
38.889034,71.122508,07/19/1996 00:00:00,07/25/1996 00:00:00,2
38.69529,70.48422,06/18/1996 00:00:00,06/18/1996 00:00:00,7
38.889034,71.122508,07/22/1996 00:00:00,07/28/1996 00:00:00,14
38.889034,71.122508,07/15/1996 00:00:00,07/15/1996 00:00:00,18
38.71731,69.70885,10/13/1996 00:00:00,10/13/1996 00:00:00,1
38.889034,71.122508,05/21/1996 00:00:00,05/21/1996 00:00:00,13
38.889034,71.122508,01/30/1996 00:00:00,02/04/1996 00:00:00,2
38.889034,71.122508,05/26/1996 00:00:00,05/26/1996 00:00:00,6
38.639275,70.668581,06/30/1996 00:00:00,06/30/1996 00:00:00,2
38.71731,69.70885,06/06/1996 00:00:00,06/06/1996 00:00:00,1
38.639275,70.668581,06/07/1996 00:00:00,06/07/1996 00:00:00,27
38.889034,71.122508,08/10/1996 00:00:00,08/11/1996 00:00:00,2
38.723821,69.320197,03/08/1996 00:00:00,03/08/1996 00:00:00,4
38.73014,69.80235,03/30/1996 00:00:00,03/30/1996 00:00:00,2
